state_code,state_fips,county_fips,county_state_name,county_population,county_pop_density,county_area_total,county_area_land,county_area_water,year
GA,13,163,"Jefferson County, Georgia",15468,29.37584,529.6669,526.5551,3.111828,2023
GA,13,165,"Jenkins County, Georgia",8674,24.96989,352.4734,347.3784,5.094979,2023
GA,13,167,"Johnson County, Georgia",9192,30.33475,306.5929,303.0189,3.574006,2023
GA,13,169,"Jones County, Georgia",28526,72.41174,395.4167,393.9417,1.475009,2023
GA,13,171,"Lamar County, Georgia",19098,104.0759,185.8344,183.5006,2.333729,2023
GA,13,173,"Lanier County, Georgia",10094,51.35905,199.7884,196.5379,3.250539,2023
GA,13,175,"Laurens County, Georgia",49619,61.46017,818.4704,807.3358,11.13459,2023
GA,13,177,"Lee County, Georgia",33337,93.68418,361.7939,355.8445,5.949382,2023
GA,13,179,"Liberty County, Georgia",66826,129.3917,602.5189,516.4626,86.0563,2023
GA,13,181,"Lincoln County, Georgia",7773,36.94722,257.2978,210.3812,46.91654,2023
GA,13,183,"Long County, Georgia",17512,43.73637,403.8206,400.399,3.421645,2023
GA,13,185,"Lowndes County, Georgia",119055,239.4323,510.5754,497.2387,13.33666,2023
GA,13,187,"Lumpkin County, Georgia",33931,119.9214,284.2083,282.9436,1.264702,2023
GA,13,189,"McDuffie County, Georgia",21687,84.2631,266.2962,257.3724,8.923796,2023
GA,13,191,"McIntosh County, Georgia",11187,25.93502,573.8894,431.3473,142.5421,2023
GA,13,193,"Macon County, Georgia",11953,29.83312,406.0065,400.6621,5.344394,2023
GA,13,195,"Madison County, Georgia",30914,109.4985,285.5854,282.3235,3.261876,2023
GA,13,197,"Marion County, Georgia",7474,20.43633,367.1831,365.7213,1.461761,2023
GA,13,199,"Meriwether County, Georgia",20757,41.43886,505.0891,500.9066,4.182452,2023
GA,13,201,"Miller County, Georgia",5873,20.79506,283.6627,282.4228,1.239902,2023
GA,13,205,"Mitchell County, Georgia",21441,41.86403,513.8237,512.158,1.665727,2023
GA,13,207,"Monroe County, Georgia",28919,73.01089,398.2707,396.0916,2.179101,2023
GA,13,209,"Montgomery County, Georgia",8675,35.97418,244.694,241.1452,3.548853,2023
GA,13,211,"Morgan County, Georgia",20614,59.33601,354.6207,347.4113,7.209425,2023
GA,13,213,"Murray County, Georgia",40282,116.9309,346.7023,344.4941,2.208193,2023
GA,13,215,"Muscogee County, Georgia",204383,944.0336,221.0109,216.4997,4.511192,2023
GA,13,217,"Newton County, Georgia",115530,421.9282,279.199,273.8144,5.384673,2023
GA,13,219,"Oconee County, Georgia",42788,232.1123,186.3746,184.3418,2.032787,2023
GA,13,221,"Oglethorpe County, Georgia",15221,34.66709,442.0381,439.062,2.976088,2023
GA,13,223,"Paulding County, Georgia",174292,557.94,314.3973,312.3849,2.012412,2023
GA,13,225,"Peach County, Georgia",28269,188.1038,151.3182,150.284,1.034173,2023
GA,13,227,"Pickens County, Georgia",34197,147.3631,232.7122,232.0594,0.652771,2023
GA,13,229,"Pierce County, Georgia",19996,58.73298,343.2298,340.4561,2.77373,2023
GA,13,231,"Pike County, Georgia",19540,90.4269,219.4051,216.0861,3.318928,2023
GA,13,233,"Polk County, Georgia",43365,139.7339,312.1406,310.3398,1.800735,2023
GA,13,235,"Pulaski County, Georgia",9893,39.68926,251.2099,249.2614,1.948506,2023
GA,13,237,"Putnam County, Georgia",22524,65.34723,360.6865,344.6818,16.00465,2023
GA,13,239,"Quitman County, Georgia",2092,13.83256,160.565,151.2374,9.327571,2023
GA,13,241,"Rabun County, Georgia",17107,46.21833,377.028,370.1345,6.89345,2023
GA,13,243,"Randolph County, Georgia",6270,14.64146,430.8732,428.2361,2.637094,2023
GA,13,245,"Richmond County, Georgia",206040,635.2594,328.5853,324.34,4.245291,2023
GA,13,247,"Rockdale County, Georgia",94293,726.3445,132.0964,129.8186,2.277876,2023
GA,13,249,"Schley County, Georgia",4539,27.19453,167.8235,166.9086,0.9149266,2023
GA,13,251,"Screven County, Georgia",14057,21.76609,655.8688,645.821,10.04785,2023
GA,13,253,"Seminole County, Georgia",9117,38.37994,256.556,237.546,19.01001,2023
GA,13,255,"Spalding County, Georgia",68215,348.0881,199.5906,195.9705,3.62009,2023
GA,13,257,"Stephens County, Georgia",26842,150.071,183.8964,178.862,5.034491,2023
GA,13,259,"Stewart County, Georgia",4978,10.85126,463.6128,458.7485,4.864302,2023
GA,13,261,"Sumter County, Georgia",29174,60.41701,492.6115,482.8773,9.734192,2023
GA,13,263,"Talbot County, Georgia",5753,14.69937,394.7623,391.3774,3.384899,2023
GA,13,265,"Taliaferro County, Georgia",1740,8.941108,195.3472,194.6068,0.7404023,2023
GA,13,267,"Tattnall County, Georgia",24215,50.3598,488.3485,480.8399,7.508688,2023
GA,13,269,"Taylor County, Georgia",7786,20.66972,379.6985,376.6863,3.012191,2023
GA,13,271,"Telfair County, Georgia",12174,27.83854,444.0088,437.3075,6.701344,2023
GA,13,273,"Terrell County, Georgia",8941,26.62665,337.7032,335.7914,1.911717,2023
GA,13,275,"Thomas County, Georgia",45696,83.90239,552.2181,544.6329,7.585246,2023
GA,13,277,"Tift County, Georgia",41322,158.3885,268.7891,260.8901,7.898991,2023
GA,13,279,"Toombs County, Georgia",26943,74.01669,370.9921,364.0125,6.979541,2023
GA,13,281,"Towns County, Georgia",12739,76.52026,171.7893,166.4788,5.310526,2023
GA,13,283,"Treutlen County, Georgia",6387,32.0261,202.4469,199.4311,3.015809,2023
GA,13,285,"Troup County, Georgia",69821,168.6461,445.9619,414.0089,31.95295,2023
GA,13,287,"Turner County, Georgia",8915,31.23495,289.9804,285.4174,4.562992,2023
GA,13,289,"Twiggs County, Georgia",7869,21.90338,362.6342,359.2596,3.374624,2023
GA,13,291,"Union County, Georgia",25598,79.47636,329.0672,322.0832,6.98398,2023
GA,13,293,"Upson County, Georgia",27856,86.11706,327.5537,323.4667,4.087049,2023
GA,13,295,"Walker County, Georgia",68449,153.3748,446.9316,446.2858,0.6458238,2023
GA,13,297,"Walton County, Georgia",100361,307.083,329.9997,326.8204,3.179324,2023
GA,13,299,"Ware County, Georgia",35958,39.9871,907.9872,899.2399,8.747231,2023
GA,13,301,"Warren County, Georgia",5175,18.1989,286.6878,284.3579,2.329925,2023
GA,13,303,"Washington County, Georgia",19893,29.31797,684.3557,678.5259,5.829765,2023
GA,13,305,"Wayne County, Georgia",30519,47.55126,648.673,641.8127,6.860321,2023
GA,13,307,"Webster County, Georgia",2348,11.19922,210.5604,209.6574,0.9030328,2023
GA,13,309,"Wheeler County, Georgia",7434,25.15825,300.2683,295.4895,4.778799,2023
